book_title,recipe_title,page_number,description
The Silver Spoon,Spaghetti Carbonara,342,Classic Roman pasta with eggs and guanciale
The Silver Spoon,Risotto alla Milanese,198,Saffron risotto from Milan
The Silver Spoon,Ossobuco,210,Braised veal shanks with gremolata
The Silver Spoon,Tiramisu,512,
The Silver Spoon,Panna Cotta,518,Silky cream dessert with vanilla
Ottolenghi Simple,Roasted Aubergine with Anchovies,45,Charred aubergine topped with salted anchovies and capers
Ottolenghi Simple,Cauliflower with Pomegranate,78,
Ottolenghi Simple,Braised Eggs with Leek and Za'atar,23,One-pan eggs in a spiced leek base
Ottolenghi Simple,Chicken with Caramelised Figs,134,Roasted chicken thighs with sweet figs and vinegar
Ottolenghi Simple,Sweet Potato and Ginger Soup,12,
Baking with Dorie,Kouign-Amann,210,Caramelised Breton pastry with layered butter dough
Baking with Dorie,Tarte Tatin,88,Upside-down caramelised apple tart
Baking with Dorie,Financiers,156,Brown butter almond cakes
Baking with Dorie,Chocolate Fondant,302,
Baking with Dorie,Croissants,44,Classic French laminated dough pastry
Baking with Dorie,Pain Perdu,70,French toast with brioche and custard
Salt Fat Acid Heat,Lemon Herb Roast Chicken,241,Whole chicken seasoned with lemon zest and fresh herbs
Salt Fat Acid Heat,Green Goddess Dressing,89,
Salt Fat Acid Heat,Pan-Fried Fish with Brown Butter,178,Simple white fish finished with beurre noisette
